ID,NameSubtext_lang,Description_lang,AuraDescription_lang
1,,,
5,,立即轰杀目标，很强罢......,
7,,施法者进行自杀，立即杀死自己。,
10,"等级 1",破碎的冰块从天而降，在$10d内对目标区域中的敌人造成${$42208m1*8*$<mult>}点冰霜伤害。,每$42208t1秒$42208s1点冰霜伤害。
11,,对目标造成$s1点冰霜伤害。,
17,"等级 1",立即为队友加上魔法护盾，可吸收$s1点伤害，持续$d。只要护盾存在，受保护者的施法就不会被物理攻击打断。目标在被加上护盾之后的$6788d内无法再被加上护盾。,吸收伤害。
43,种族特长,,
45,,击退附近的敌人。,
49,,"Heals the target for $s1.",
50,,"Dumps the dot variables of the current target to the console.",
53,"等级 1",背刺目标，对其造成$m2%的武器伤害再加${$m1*1.5}点伤害，必须在目标背后发动，你的主手中必须有一把匕首。奖励$s3个连击点数。,
56,,使目标昏迷$d。,昏迷。
65,,使你的近战攻击急速等级提高$s1，持续$d。,
66,,$?s54354[使施法者立刻隐形，清除所有仇恨。][使施法者在$66d内保持隐形，每秒降低一定的威胁值。]如果你做出任何动作，或者受到任何动作的影响，这个效果就会消失。在隐形状态下，你只能看到其他的隐形目标和那些可以看到隐形单位的人。效果持续$32612d。,正在隐形。
67,"等级 1",使圣骑士的伤害性攻击有一定的几率令目标的攻击强度降低$s1点，持续$d。,攻击强度降低$s1点。
71,,防御型的战姿，被击中时所受到的伤害降低$7376s1%，自身的攻击伤害降低$7376s2%。提高威胁值的产生速度。,
72,,使用你的盾牌重击目标，打断目标施法并使其眩晕，在$d内无法施放该系法术。,
75,,自动射击目标，直到取消。猎人的远程射击速度全部提高$34082s2%。,射击目标。
78,"等级 1",强力的攻击，使近战攻击所造成的伤害提高$s1点，并造成大量的威胁。,
81,被动,使你有一定几率躲闪敌人的近战和远程攻击。,
87,QAE,"Makes you immune to all spell mechanics.  Used in Automation scripts to give the bot immunity to negative effects while still being able to interact with objects.","Immune to spell mechanics"
89,"等级 1",使目标残废，移动速度降低$s3%，近战和远程攻击间隔延长$s1%。持续$d。,移动速度降低$s3%，近战和远程攻击间隔延长$s1%。
96,,使你的下一次近战攻击的伤害提高$s1点，并使目标流血。,流血，每$t2秒$s2点伤害。
99,"等级 1",德鲁伊发出咆哮，使附近所有敌人的近战攻击强度降低$s1点，持续$d。,近战攻击强度降低$s1点。
100,"等级 1",向敌人冲锋，产生$/10;s2点怒气值，并使其昏迷$7922d。无法在战斗中使用。,
101,"等级 1",摔投人型目标，对其造成$s2点伤害，并使其倒地$d。奖励$s3个连击点数。,
107,被动,有一定几率格挡敌人的近战和远程武器攻击。,
113,"等级 1",在敌人周围形成冰封的链条，将目标锁定在原地，持续$d。,被定身在原地。
116,"等级 1",向目标射出一支寒冰箭，对其造成${$m2*$<mult>}至${$M2*$<mult>}点冰霜伤害，并使其移动速度降低$s1%，持续$d。,移动速度降低$s1%。
118,"等级 1",将敌人变成绵羊，使其在周围到处闲逛，最多持续$d。在这个过程中，绵羊无法攻击或施法，但会以极快的速度恢复生命值，任何伤害都会让绵羊恢复正常状态。每个法师在同一时间内只能将一个目标变成绵羊，只能对野兽、人型生物和小动物施放。,不能攻击或施法。回复速度提高。
120,"等级 1",施法者面前锥形范围内的目标受到${$m2*$<mult>}至${$M2*$<mult>}点冰霜伤害，移动速度降低$s1%，持续$d。,移动速度降低$s1%。
122,"等级 1",冲击施法者附近的所有敌人，对它们造成${$m1*$<mult>}到${$M1*$<mult>}点冰霜伤害并将其冻结在原地，最多持续$d。对被冻结的目标造成伤害可能打断这个效果。,被冻结在原地。
124,,使用神圣灌注的能量祝福所有目标或使其受到众生之灾的诅咒。,
126,召唤,召唤一颗基尔罗格之眼，并让你以它的视角观察世界。基尔罗格之眼速度很快，但也非常脆弱。,正在控制基尔罗格之眼。
130,,使友方队伍或团队中的目标的下落速度降低，持续$d。,减慢下落速度。
131,,使目标可以在水下自由呼吸，持续$d。,可以在水下呼吸。
132,,让友方目标能够侦查到次级隐形术，持续$d。,侦测次级隐形术。
133,"等级 1",发射一枚火球攻击目标，对其造成$s1点火焰伤害，并在$d内造成额外的$o2点火焰伤害。,每$t2秒$s2点火焰伤害。
134,,为盟友施加火焰之盾，每$t1秒对施法者周围的所有敌人造成$3052s1点火焰伤害，持续$d。,每$t1秒对施法者周围的所有敌人造成$3052s1点火焰伤害。
136,"等级 1",集中注意力为宠物治疗，在$d内为其恢复$<total>点生命值。,每$t1秒恢复$s1点生命值。
139,"等级 1",治疗目标，在$d内恢复总计$<total>点生命值。,每$t1秒恢复$s1点生命值。
143,"等级 2",发射一枚火球攻击目标，对其造成$s1点火焰伤害，并在$d内造成额外的$o2点火焰伤害。,每$t2秒$s2点火焰伤害。
145,"等级 3",发射一枚火球攻击目标，对其造成$s1点火焰伤害，并在$d内造成额外的$o2点火焰伤害。,每$t2秒$s2点火焰伤害。
168,"等级 1",使护甲提高$s1点。如果敌人使用近战武器攻击施法者，他们的移动速度就有可能被降低$6136s1%，攻击间隔延长$6136s2%，冰冻效果持续$6136d。法师在同一时间内只能保有一种魔法护甲效果。持续$d。,护甲值提高$s1点，并可使攻击者减速。
172,"等级 1",腐蚀目标，在$d内造成累计$o1点暗影伤害。,每$t1秒$s1点暗影伤害。
