ID,Name_lang
1,"Word of Recall (OLD)"
3,"Word of Mass Recall (OLD)"
4,召回他人之语
5,死亡之触
7,自杀
10,暴风雪
11,上古寒冰箭
12,"Hot Foot (TEST)"
13,"Swim Speed (TEST)"
14,抽取法力
15,"Leech (TEST)"
17,真言术：盾
18,"Heal Self (TEST)"
22,"Super Food (TEST)"
24,"Major Heal Self (TEST)"
25,昏迷
26,"Bind Self (TEST)"
27,闪金镇传送门
31,传送：闪金镇
33,传送：西部荒野
34,传送：暮色森林
35,传送：艾尔文森林
43,狂暴
45,战争践踏
47,"Sprint (TEST)"
49,"Heal 1000 (TEST)"
50,"Show Dot Variable"
53,背刺
58,"Magic Missile (TEST)"
59,"Normal bow shot (TEST)"
60,"Long bow shot (TEST)"
61,"Really Long bow shot (TEST)"
65,加速
66,隐形术
67,辩护
68,"Editor Test Spell"
71,防御姿态
72,盾击
75,自动射击
77,龟壳
78,英勇打击
81,躲闪
87,"Automation Mechanic Immunity"
89,残废术
91,野蛮突袭
96,肢解
99,挫志咆哮
100,冲锋
101,摔投
107,格挡
108,"Evade (DND)"
110,"Spell Deflection (NYI)"
111,时间之步
112,"Reflect Magic (TEST)"
113,寒冰锁链
116,寒冰箭
118,变形术
120,冰锥术
122,冰霜新星
124,抗性神圣手雷
126,基尔罗格之眼
130,缓落术
131,水下呼吸
132,侦测隐形
133,火球术
134,火焰之盾
136,治疗宠物
139,恢复
142,"New Magic Missile (Test)"
168,霜甲术
172,腐蚀术
184,"火焰之盾 II"
196,单手斧
197,双手斧
198,单手锤
199,双手锤
200,长柄武器
201,单手剑
202,双手剑
203,徒手
204,防御
227,法杖
228,变鸡术
246,减速术
260,"Charm (TEST)"
261,召唤骷髅
264,弓
265,"Area Death"
266,枪械
269,"Walk of Fire Trigger (DNC)"
271,虚空召唤
324,闪电之盾
331,治疗波
339,纠缠根须
348,献祭
355,嘲讽
370,净化术
379,大地之盾
403,闪电箭
408,肾击
421,闪电链
427,传送：修道院
428,传送：月溪镇
430,喝水
433,进食
436,恢复法力
439,治疗药水
442,传送：北郡修道院
443,传送：兵营
444,传送：灯塔
445,传送：夜色镇
446,传送：墓地
447,传送：树人
448,"Editor test spell 2"
453,安抚心灵
454,"Gallop (TEST)"
456,"SHOWLABEL Only OFF"
457,精神衰弱
458,棕马
459,灰狼
461,正义火焰
463,"Aura Overlap TEST 1"
464,"Aura Overlap TEST 2"
465,虔诚光环
467,荆棘术
468,白马
469,命令怒吼
470,黑马
471,褐色马
472,杂色马
475,解除诅咒
483,学习
491,卡德加开锁术
498,圣佑术
514,"Wyatt Test"
515,次级隐形术
518,召唤虫子
522,"SPELLDEFENSE (DND)"
526,驱毒术
527,驱散魔法
528,祛病术
530,"Charm (Possess)"
543,防护火焰结界
546,水上行走
550,消毒术
552,驱除疾病
553,"波浪风暴 2"
555,野性狼魂
556,星界传送
563,月火术
568,奥术爆裂
578,黑狼
579,赤狼
580,森林狼
581,冬狼
585,惩击
586,渐隐术
587,造食术
588,心灵之火
589,暗言术：痛
596,治疗祷言
601,剑类武器掌握
603,厄运诅咒
